지역,날짜,평균기온,최고기온,최저기온,강수량
서울,2005년 1월,-2.5,7.3,-11,4.5
서울,2005년 2월,-1.9,10.5,-13.1,17.2
서울,2005년 3월,4.1,17.6,-6.5,12.5
서울,2005년 4월,13.2,29.8,4.1,94.7
서울,2005년 5월,17.7,30.2,6.3,85.8
서울,2005년 6월,22.7,32,15.5,168.5
서울,2005년 7월,25.3,34.2,18.3,269.4
서울,2005년 8월,25.1,35,16.5,285
서울,2005년 9월,21.8,30.8,13.8,313.3
서울,2005년 10월,14.7,24.9,3,52.6
서울,2005년 11월,8.6,21.8,-1.1,44.6
서울,2005년 12월,-3.9,11.1,-14,10.3
서울,2006년 1월,-0.2,9.3,-10.1,34.3
서울,2006년 2월,0.1,11.5,-14.1,15.7
서울,2006년 3월,5.2,17.2,-6.9,14
서울,2006년 4월,11.6,22.2,2.9,51.8
서울,2006년 5월,18.4,28.3,10.8,156.2
서울,2006년 6월,21.8,32.4,14.1,168.5
서울,2006년 7월,23.1,30.1,17.5,1014
서울,2006년 8월,27,34.7,20.8,121.2
서울,2006년 9월,21.1,30.3,11.3,11.1
서울,2006년 10월,17.9,27.5,7.9,30.2
서울,2006년 11월,8.4,20.2,-1.3,47.6
서울,2006년 12월,1.4,12.6,-12.3,17.3
서울,2007년 1월,0.4,11.8,-7.6,10.8
서울,2007년 2월,4,14.8,-8.6,12.6
서울,2007년 3월,6.1,16.2,-7.6,123.5
서울,2007년 4월,11.4,22.5,1.6,41.1
서울,2007년 5월,18.1,30.1,9,137.6
서울,2007년 6월,23.2,33.2,14.1,54.5
서울,2007년 7월,24.2,31.2,17.7,274.1
서울,2007년 8월,26.5,33.2,19.8,237.6
서울,2007년 9월,21.5,31.1,14.1,241.9
서울,2007년 10월,15.1,26.2,3.2,39.5
서울,2007년 11월,6.7,19.3,-5.5,26.4
서울,2007년 12월,1.8,13.8,-7.4,12.7
서울,2008년 1월,-1.7,7.3,-11.1,17.7
서울,2008년 2월,-1.2,10.5,-10.1,15
서울,2008년 3월,7.3,19.8,-1.7,53.9
서울,2008년 4월,14.1,28,3.8,38.5
서울,2008년 5월,17.7,28.5,8.1,97.7
서울,2008년 6월,21.5,29.6,13.7,165
서울,2008년 7월,25.1,32.9,20.2,530.8
서울,2008년 8월,25.3,35.4,16.3,251.2
서울,2008년 9월,22,32,10.3,99.2
서울,2008년 10월,16.1,28.3,5.6,41.8
서울,2008년 11월,7.6,18.4,-7.2,19.6
서울,2008년 12월,1.1,13.3,-13.1,25.9
서울,2009년 1월,-2,12.2,-11.4,5.7
서울,2009년 2월,2.9,16.1,-8.6,36.9
서울,2009년 3월,6,22.2,-3.3,63.9
서울,2009년 4월,12.7,25.8,2.2,66.5
서울,2009년 5월,19.1,31,9.8,109
서울,2009년 6월,22.4,32.4,14.3,132
서울,2009년 7월,24.3,32.4,18.7,659.4
서울,2009년 8월,25.7,34.4,16.4,285.3
서울,2009년 9월,21.8,29.9,14.4,64.5
서울,2009년 10월,16,26.4,6.2,66.9
서울,2009년 11월,6.9,21.8,-4.3,52.4
서울,2009년 12월,-1,10.1,-12.9,21.5
서울,2010년 1월,-4.5,8.4,-15.3,29.3
서울,2010년 2월,1.4,17.9,-10.8,55.3
서울,2010년 3월,4.3,14.2,-4,82.5
서울,2010년 4월,9.5,20.7,1.1,62.8
서울,2010년 5월,17.2,28.6,5.8,124
서울,2010년 6월,23.4,32.7,12.1,127.6
서울,2010년 7월,25.8,32.3,21,239.2
서울,2010년 8월,26.5,33.8,19.9,598.7
서울,2010년 9월,21.8,31.4,8.4,671.5
서울,2010년 10월,14.5,24.2,0.7,25.6
서울,2010년 11월,6.5,17.4,-5.2,10.9
서울,2010년 12월,-1.3,13.5,-15.1,16.1
서울,2011년 1월,-7.2,0.3,-17.8,8.9
서울,2011년 2월,1.2,13.2,-9.2,29.1
서울,2011년 3월,3.6,16.8,-5.5,14.6
서울,2011년 4월,10.7,19,4.3,110.1
서울,2011년 5월,17.9,31.2,8.5,53.4
서울,2011년 6월,22,32.9,14.4,404.5
서울,2011년 7월,24.6,34.1,18.9,1131
서울,2011년 8월,25.8,34.1,18.1,166.8
서울,2011년 9월,21.8,32.4,10.3,25.6
서울,2011년 10월,14.2,23.4,3.1,32
서울,2011년 11월,10.7,25.9,-5.5,56.2
서울,2011년 12월,-0.9,9.1,-10.6,7.1
서울,2012년 1월,-2.8,8.4,-12.2,6.7
서울,2012년 2월,-2,12.1,-17.1,0.8
서울,2012년 3월,5.1,16.2,-5.7,47.4
서울,2012년 4월,12.3,29.4,0.6,157
서울,2012년 5월,19.7,29.3,12,8.2
서울,2012년 6월,24.1,33.5,16.3,91.9
서울,2012년 7월,25.4,33.2,18.5,448.9
서울,2012년 8월,27.1,36.7,18.7,464.9
서울,2012년 9월,21,29.5,12,212
서울,2012년 10월,15.3,26,2.8,99.3
서울,2012년 11월,5.5,15.7,-3,67.8
서울,2012년 12월,-4.1,8.3,-14.5,41.4
서울,2013년 1월,-3.4,11.5,-16.4,22.1
서울,2013년 2월,-1.2,13.9,-15.8,74.1
서울,2013년 3월,5.1,23.8,-4.4,27.3
서울,2013년 4월,10,21.6,1.3,71.7
서울,2013년 5월,18.2,31.8,7.9,132
서울,2013년 6월,24.4,32.6,16.3,28.3
서울,2013년 7월,25.5,31.3,20.5,676.2
서울,2013년 8월,27.7,33.9,21.1,148.6
서울,2013년 9월,21.8,31.1,10.9,138.5
서울,2013년 10월,15.8,28.1,4.3,13.5
서울,2013년 11월,6.2,20.7,-6.4,46.8
서울,2013년 12월,-0.2,11,-9.8,24.7
서울,2014년 1월,-0.7,8.2,-10.5,13
서울,2014년 2월,1.9,16.4,-10.5,16.2
서울,2014년 3월,7.9,23.8,-4.6,7.2
서울,2014년 4월,14,26.2,2.3,31
서울,2014년 5월,18.9,33.3,6.8,63
서울,2014년 6월,23.1,31.1,17.3,98.1
서울,2014년 7월,26.1,34.4,19.1,207.9
서울,2014년 8월,25.2,35.8,18.3,172.8
서울,2014년 9월,22.1,31.3,14.9,88.1
서울,2014년 10월,15.6,29,2.7,52.2
서울,2014년 11월,9,22.9,-3.1,41.5
서울,2014년 12월,-2.9,7.9,-13.2,17.9
서울,2015년 1월,-0.9,9,-9.8,11.3
서울,2015년 2월,1,13,-13,22.7
서울,2015년 3월,6.3,21.9,-6.9,9.6
서울,2015년 4월,13.3,28.3,3.5,80.5
서울,2015년 5월,18.9,32.2,8.3,28.9
서울,2015년 6월,23.6,34.9,15.6,99
서울,2015년 7월,25.8,36,18.2,226
서울,2015년 8월,26.3,34.4,18.9,72.9
서울,2015년 9월,22.4,31,14.2,26
서울,2015년 10월,15.5,26.6,1.1,81.5
서울,2015년 11월,8.9,21,-7.3,104.6
서울,2015년 12월,1.6,12.2,-9.5,29.1
서울,2016년 1월,-3.2,9.5,-18,1
서울,2016년 2월,0.2,14.4,-10,47.6
서울,2016년 3월,7,21.4,-7.5,40.5
서울,2016년 4월,14.1,29.6,5.1,76.8
서울,2016년 5월,19.6,31.9,8.9,160.5
서울,2016년 6월,23.6,32.2,17.1,54.4
서울,2016년 7월,26.2,34.1,19.8,358.2
서울,2016년 8월,28,36.6,16.1,67.1
서울,2016년 9월,23.1,31.1,14.3,33
서울,2016년 10월,16.1,29,0.7,74.8
서울,2016년 11월,6.8,18.6,-6.2,16.7
서울,2016년 12월,1.2,13.6,-9.8,61.1
서울,2017년 1월,-1.8,11.4,-12.6,14.9
서울,2017년 2월,-0.2,12.3,-9.3,11.1
서울,2017년 3월,6.3,18.9,-5.3,7.9
서울,2017년 4월,13.9,27.8,3.1,61.6
서울,2017년 5월,19.5,30.3,10,16.1
서울,2017년 6월,23.3,34.1,14.5,66.6
서울,2017년 7월,26.9,35.4,21.9,621
서울,2017년 8월,25.9,35.3,16.1,297
서울,2017년 9월,22.1,31.4,11.2,35
서울,2017년 10월,16.4,29.4,2.5,26.5
서울,2017년 11월,5.6,18.4,-6.6,40.7
서울,2017년 12월,-1.9,8.7,-12.3,34.8
서울,2018년 1월,-4,8.7,-17.8,8.5
서울,2018년 2월,-1.6,10.4,-13.4,29.6
서울,2018년 3월,8.1,22.1,-6.7,49.5
서울,2018년 4월,13,26.3,0.1,130.3
서울,2018년 5월,18.2,29.6,6.9,222
서울,2018년 6월,23.1,32.9,16.3,171.5
서울,2018년 7월,27.8,38.3,17.7,185.6
서울,2018년 8월,28.8,39.6,20.2,202.6
서울,2018년 9월,21.5,30.9,10.8,68.5
서울,2018년 10월,13.1,25.6,0.7,120.5
서울,2018년 11월,7.8,19.4,-3.1,79.1
서울,2018년 12월,-0.6,13.5,-14.4,16.4
서울,2019년 1월,-0.9,8.5,-10.1,0
서울,2019년 2월,1,14.5,-10.2,23.8
서울,2019년 3월,7.1,17.6,-1.7,26.8
서울,2019년 4월,12.1,28.2,0.3,47.3
서울,2019년 5월,19.4,33.4,8.4,37.8
서울,2019년 6월,22.5,32.8,14.1,74
서울,2019년 7월,25.9,36.1,19.3,194.4
서울,2019년 8월,27.2,36.8,18.5,190.5
서울,2019년 9월,22.6,30.5,13.6,139.8
서울,2019년 10월,16.4,28.2,4.7,55.5
서울,2019년 11월,7.6,22.1,-4.6,78.8
서울,2019년 12월,1.4,12.9,-10.9,22.6
서울,2020년 1월,1.6,11.9,-6.5,60.5
서울,2020년 2월,2.5,15.6,-11.8,53.1
서울,2020년 3월,7.7,20.6,-2.8,16.3
서울,2020년 4월,11.1,23.8,1.9,16.9
서울,2020년 5월,18,30,9.2,112.4
서울,2020년 6월,23.9,35.4,14.8,139.6
서울,2020년 7월,24.1,32.9,17.2,270.4
서울,2020년 8월,26.5,34.5,21.5,675.7
서울,2020년 9월,21.4,29.5,13.6,181.5
서울,2020년 10월,14.3,23.6,3.2,0
서울,2020년 11월,8,20,-3.6,120.1
서울,2020년 12월,-0.3,11.4,-12.9,4.6
서울,2021년 1월,-2.4,13.9,-18.6,18.9
서울,2021년 2월,2.7,17.4,-10.6,7.1
서울,2021년 3월,9,22.9,-1.2,110.9
서울,2021년 4월,14.2,28.2,3.1,124.1
서울,2021년 5월,17.1,30.8,7.3,183.1
서울,2021년 6월,22.8,31.6,13.3,104.6
서울,2021년 7월,28.1,36.5,19.6,168.3
서울,2021년 8월,25.9,33.7,18.1,211.2
