날짜,부산,경북,인천,울산,경기,강원,충북,충남,전북,전남,경남,제주,서울
2005년 1월,"16,351","13,780","9,870","5,617","11,535","6,816","4,899","13,057","7,654","12,237","7,125","2,346",54576
2005년 2월,"13,478","13,673","9,465","4,277","10,495","6,023","4,664","11,029","7,363","11,963","6,955","2,327",49801
2005년 3월,"17,792","16,946","10,984","6,244","10,956","7,189","6,841","15,720","9,793","13,956","7,568","2,491",62629
2005년 4월,"18,674","16,874","12,008","6,375","12,221","7,443","6,746","14,467","10,973","16,031","7,801","2,430",58217
2005년 5월,"22,064","17,695","11,019","7,096","12,393","7,107","7,806","15,795","11,485","17,134","10,374","2,806",63355
2005년 6월,"18,583","15,198","11,114","6,694","10,782","6,442","6,789","13,924","10,428","14,720","8,483","2,788",61224
2005년 7월,"17,662","16,526","10,842","7,176","10,673","6,927","6,823","14,798","10,751","14,503","6,915","2,926",58363
2005년 8월,"17,688","16,914","11,793","7,525","12,502","7,534","6,833","14,386","10,132","15,340","7,549","2,842",66493
2005년 9월,"18,117","16,896","10,752","6,813","11,783","6,940","6,232","13,936","11,533","14,196","9,903","2,752",56326
2005년 10월,"16,978","15,190","8,245","7,464","10,133","5,896","6,122","10,926","10,675","14,620","6,917","2,860",55027
2005년 11월,"17,860","17,239","12,985","6,670","12,135","7,402","7,071","11,666","10,075","15,838","10,545","2,676",67216
2005년 12월,"17,977","17,221","10,197","6,799","12,754","7,403","6,525","11,608","10,051","13,812","10,428","2,430",67362
2006년 1월,"16,581","13,385","9,982","8,311","11,090","5,810","5,505","11,187","8,668","16,052","6,829","1,864",57868
2006년 2월,"17,608","14,838","10,249","7,562","12,407","7,711","6,375","10,374","7,494","18,199","8,453","2,170",61420
2006년 3월,"19,322","18,376","10,521","7,028","12,674","8,223","7,057","13,583","11,062","15,478","10,283","2,682",66112
2006년 4월,"18,257","17,497","9,363","6,542","12,566","6,857","6,633","12,463","11,212","16,121","9,437","2,250",64646
2006년 5월,"20,927","18,874","9,691","7,389","13,286","6,653","7,783","13,892","12,877","20,905","9,032","2,531",68775
2006년 6월,"16,708","17,038","10,897","7,681","13,077","6,677","6,588","12,664","10,733","16,275","9,221","3,001",64239
2006년 7월,"18,173","15,553","9,137","6,509","11,714","5,495","6,900","12,405","9,466","15,726","8,556","2,843",61863
2006년 8월,"17,007","14,871","10,014","7,649","11,395","6,923","6,506","11,731","10,015","19,737","7,540","3,532",64325
2006년 9월,"17,539","14,554","9,326","6,705","10,431","5,983","7,123","12,350","10,502","16,404","8,440","2,212",56435
2006년 10월,"15,650","14,482","9,708","5,684","10,898","4,676","5,908","11,143","8,848","14,086","7,798","2,408",59806
2006년 11월,"17,801","15,790","9,596","5,727","11,040","6,008","6,849","13,218","9,248","16,166","8,605","1,999",59701
2006년 12월,"16,996","13,683","12,497","5,322","11,124","5,569","5,776","11,842","8,479","14,820","8,433","2,277",65702
2007년 1월,"16,159","13,546","11,181","6,425","12,046","5,962","6,136","11,398","8,699","15,759","7,767","1,969",65898
2007년 2월,"14,027","14,233","9,938","5,157","10,539","5,886","5,179","12,578","7,160","12,928","6,308","1,579",61308
2007년 3월,"14,383","14,069","7,436","4,930","9,516","5,474","6,340","12,375","8,666","14,560","7,745","2,026",55625
2007년 4월,"14,981","15,203","9,219","4,756","10,074","6,247","6,265","11,341","9,120","15,080","6,977","2,574",58718
2007년 5월,"19,636","15,446","10,378","6,011","12,259","5,695","7,149","13,861","8,775","18,700","8,717","2,538",64198
2007년 6월,"17,092","12,190","9,438","6,015","11,282","4,988","5,967","11,693","7,660","15,918","8,739","2,327",59445
2007년 7월,"16,845","11,695","9,354","5,703","11,027","5,620","6,378","12,212","8,058","15,446","8,225","2,497",59096
2007년 8월,"14,674","11,502","7,933","5,089","10,323","4,602","6,040","11,916","8,386","14,125","6,363","2,679",55232
2007년 9월,"14,327","9,823","6,188","4,417","8,027","4,089","5,324","10,146","7,108","12,633","6,315","2,152",43547
2007년 10월,"15,854","13,725","10,203","6,150","12,742","5,597","5,986","12,252","8,375","14,406","8,691","2,446",61393
2007년 11월,"16,180","13,968","9,108","5,675","11,057","5,089","6,651","13,815","8,798","15,429","8,331","2,410",56365
2007년 12월,"15,465","11,999","9,719","5,104","10,223","5,392","5,388","13,010","7,369","13,020","7,581","2,342",56678
2008년 1월,"16,996","13,755","11,797","5,604","13,082","7,140","5,618","14,464","7,830","13,381","8,701","2,153",74810
